"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1969/12/01","00:00","1.495","0.739","0.608","-0.026","-0.045","-0.7","-0.797","-1.169","0"
"1970/01/01","00:00","1.123","0.599","0.474","-0.151","-0.179","-0.831","-0.898","-1.349","0"
"1970/02/01","00:00","1.236","0.617","0.507","-0.139","-0.167","-0.84","-0.907","-1.434","0"
"1970/03/01","00:00","1.141","0.608","0.51","-0.13","-0.151","-0.816","-0.88","-1.337","0"
"1970/04/01","00:00","1.144","0.702","0.611","-0.042","-0.072","-0.755","-0.825","-1.566","0"
"1970/05/01","00:00","0.949","0.684","0.574","-0.084","-0.115","-0.804","-0.858","-1.136","0"
"1970/06/01","00:00","1.117","0.745","0.623","-0.029","-0.057","-0.736","-0.794","-1.026","0"
"1970/07/01","00:00","1.04","0.717","0.602","-0.042","-0.066","-0.733","-0.8","-1.142","0"
"1970/08/01","00:00","1.004","0.751","0.653","0.01","-0.014","-0.685","-0.743","-1.157","0"
"1970/09/01","00:00","1.034","0.708","0.629","-0.017","-0.048","-0.724","-0.773","-1.145","0"
"1970/10/01","00:00","1.077","0.754","0.663","0.016","-0.005","-0.676","-0.733","-1.063","0"
"1970/11/01","00:00","1.4","0.812","0.702","0.062","0.035","-0.633","-0.724","-0.953","0"
"1970/12/01","00:00","1.263","0.76","0.626","-0.045","-0.072","-0.767","-0.88","-1.361","0"
"1971/01/01","00:00","1.233","0.62","0.489","-0.17","-0.2","-0.889","-0.974","-1.831","0"
"1971/02/01","00:00","1.159","0.638","0.504","-0.136","-0.16","-0.825","-0.898","-1.276","0"
"1971/03/01","00:00","1.333","0.62","0.51","-0.136","-0.167","-0.84","-0.941","-1.657","0"
"1971/04/01","00:00","1.05","0.699","0.571","-0.063","-0.09","-0.755","-0.825","-1.203","0"
"1971/05/01","00:00","1.031","0.72","0.614","-0.008","-0.042","-0.7","-0.761","-1.023","0"
"1971/06/01","00:00","0.976","0.772","0.65","0.007","-0.023","-0.7","-0.773","-0.889","0"
"1971/07/01","00:00","0.87","0.717","0.599","-0.042","-0.069","-0.736","-0.794","-1.005","0"
"1971/08/01","00:00","0.964","0.714","0.595","-0.045","-0.072","-0.743","-0.804","-1.063","0"
"1971/09/01","00:00","1.044","0.788","0.687","0.032","0.007","-0.672","-0.715","-1.178","0"
"1971/10/01","00:00","1.278","0.879","0.772","0.102","0.077","-0.621","-0.691","-0.974","0"
"1971/11/01","00:00","1.233","0.8","0.687","0.019","-0.002","-0.694","-0.779","-1.148","0"
"1971/12/01","00:00","0.903","0.659","0.538","-0.136","-0.163","-0.861","-0.944","-1.419","0"
"1972/01/01","00:00","1.095","0.626","0.48","-0.179","-0.2","-0.883","-0.953","-1.572","0"
